ID,time,Position X,Position Z,car speed(m/s),car Acc,Yaw Angle,left edge,right edge,LC,LB Position X,LB Position Z,LB speed,LB Acc,LF Position X,LF Position Z,LF speed,LF Acc,B Position X,B Position Z,B speed,B Acc,F Position X,F Position Z,F speed,F Acc,RB Position X,RB Position Z,RB speed,RB Acc,RF Position X,RF Position Z,RF speed,RF Acc
89819,0.08788,4997.88,7144.473,20.821,0.491,3.13,0.00,1.00,0.00,-3.12,-71.04,21.650,0.590,0.00,0.00,0.000,0.000,-3.89,-128.30,19.162,0.947,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.18788,4997.90,7142.388,20.870,0.494,3.13,0.00,1.00,0.00,-3.09,-70.96,21.626,0.570,0.00,0.00,0.000,0.000,-3.71,-128.48,19.162,0.930,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.28788,4997.91,7140.299,20.918,0.530,3.13,0.00,1.00,0.00,-3.08,-70.89,21.602,0.554,0.00,0.00,0.000,0.000,-3.56,-128.66,19.162,0.913,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.38788,4997.93,7138.205,20.967,0.563,3.13,0.00,1.00,0.00,-3.10,-70.82,21.578,0.532,0.00,0.00,0.000,0.000,-3.47,-128.85,19.162,0.904,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.48788,4997.94,7136.105,21.015,0.572,3.14,0.00,1.00,0.00,-3.16,-70.76,21.559,0.480,0.00,0.00,0.000,0.000,-3.45,-129.04,19.162,0.891,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.58788,4997.95,7134.001,21.063,0.539,3.14,0.00,1.00,0.00,-3.21,-70.70,21.546,0.442,0.00,0.00,0.000,0.000,-3.44,-129.23,19.162,0.871,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.68788,4997.95,7131.893,21.111,0.520,3.14,0.00,1.00,0.00,-3.25,-70.65,21.540,0.422,0.00,0.00,0.000,0.000,-3.40,-129.43,19.162,0.744,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.78788,4997.96,7129.779,21.160,0.509,3.14,0.00,1.00,0.00,-3.28,-70.61,21.542,0.407,0.00,0.00,0.000,0.000,-3.32,-129.64,19.162,0.733,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.88788,4997.96,7127.661,21.207,0.496,3.14,0.00,1.00,0.00,-3.29,-70.57,21.550,0.410,0.00,0.00,0.000,0.000,-3.22,-129.85,19.162,0.718,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,0.98788,4997.96,7125.538,21.255,0.489,3.14,0.00,1.00,0.00,-3.29,-70.54,21.566,0.397,0.00,0.00,0.000,0.000,-3.10,-130.06,19.162,0.702,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,1.08788,4997.96,7123.410,21.302,0.484,3.14,0.00,1.00,0.00,-3.30,-70.51,21.589,0.413,0.00,0.00,0.000,0.000,-2.99,-130.28,19.162,0.689,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,1.18788,4997.96,7121.277,21.350,0.485,3.14,0.00,1.00,0.00,-3.30,-70.48,21.619,0.442,0.00,0.00,0.000,0.000,-2.87,-130.50,19.162,0.676,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,1.28788,4997.96,7119.140,21.399,0.531,3.14,0.00,1.00,0.00,-3.30,-70.45,21.656,0.486,0.00,0.00,0.000,0.000,-2.76,-130.73,19.162,0.658,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
89819,1.38788,4997.96,7116.997,21.454,0.573,3.14,0.00,1.00,0.00,-3.31,-70.43,21.700,0.544,0.00,0.00,0.000,0.000,-2.65,-130.96,19.162,0.645,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000,0.00,0.00,0.000,0.000
