car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
21.371,-1.57,0,0,0,0,0,0,-0.08,-145.06,24.092,0,0,0,0,0,0,0,0,0,0
21.344,-1.57,0,0,0,0,0,0,-0.09,-144.78,24.092,0,0,0,0,0,0,0,0,0,0
21.316,-1.57,0,0,0,0,0,0,-0.09,-144.51,24.093,0,0,0,0,0,0,0,0,0,0
21.289,-1.57,0,0,0,0,0,0,-0.09,-144.23,24.093,0,0,0,0,0,0,0,0,0,0
21.261,-1.57,0,0,0,0,0,0,-0.1,-143.95,24.093,0,0,0,0,0,0,0,0,0,0
21.234,-1.57,0,0,0,0,0,0,-0.1,-143.67,24.093,0,0,0,0,0,0,0,0,0,0
21.207,-1.57,0,0,0,0,0,0,-0.11,-143.39,24.093,0,0,0,0,0,0,0,0,0,0
21.179,-1.57,0,0,0,0,0,0,-0.11,-143.1,24.093,0,0,0,0,0,0,0,0,0,0
21.152,-1.57,0,0,0,0,0,0,-0.12,-142.81,24.093,0,0,0,0,0,0,0,0,0,0
21.125,-1.57,0,0,0,0,0,0,-0.12,-142.51,24.093,0,0,0,0,0,0,0,0,0,0
21.098,-1.57,0,0,0,0,0,0,-0.13,-142.22,24.094,0,0,0,0,0,0,0,0,0,0
21.071,-1.57,0,0,0,0,0,0,-0.13,-141.92,24.094,0,0,0,0,0,0,0,0,0,0
21.044,-1.57,0,0,0,0,0,0,-0.14,-141.62,24.094,0,0,0,0,0,0,0,0,0,0
21.017,-1.57,0,0,0,0,0,0,-0.14,-141.31,24.094,0,0,0,0,0,0,0,0,0,0
20.99,-1.57,0,0,0,0,0,0,-0.15,-141.01,24.094,0,0,0,0,0,0,0,0,0,0
20.963,-1.57,0,0,0,0,0,0,-0.16,-140.7,24.094,0,0,0,0,0,0,0,0,0,0
20.936,-1.57,0,0,0,0,0,0,-0.16,-140.38,24.094,0,0,0,0,0,0,0,0,0,0
20.909,-1.57,0,0,0,0,0,0,-0.17,-140.07,24.094,0,0,0,0,0,0,0,0,0,0
20.882,-1.57,0,0,0,0,0,0,-0.18,-139.75,24.095,0,0,0,0,0,0,0,0,0,0
20.856,-1.57,0,0,0,0,0,0,-0.18,-139.43,24.095,0,0,0,0,0,0,0,0,0,0
20.829,-1.57,0,0,0,0,0,0,-0.19,-139.11,24.095,0,0,0,0,0,0,0,0,0,0
20.803,-1.57,0,0,0,0,0,0,-0.2,-138.78,24.095,0,0,0,0,0,0,0,0,0,0
20.776,-1.57,0,0,0,0,0,0,-0.2,-138.45,24.095,0,0,0,0,0,0,0,0,0,0
20.75,-1.57,0,0,0,0,0,0,-0.21,-138.12,24.095,0,0,0,0,0,0,0,0,0,0
20.723,-1.57,0,0,0,0,0,0,-0.22,-137.79,24.095,0,0,0,0,0,0,0,0,0,0
20.697,-1.57,0,0,0,0,0,0,-0.22,-137.45,24.095,0,0,0,0,0,0,0,0,0,0
20.67,-1.57,0,0,0,0,0,0,-0.23,-137.11,24.095,0,0,0,0,0,0,0,0,0,0
20.644,-1.57,0,0,0,0,0,0,-0.24,-136.77,24.095,0,0,0,0,0,0,0,0,0,0
20.645,-1.57,0,0,0,0,0,0,-0.24,-136.43,24.096,0,0,0,0,0,0,0,0,0,0
20.694,4.71,0,0,0,0,0,0,-0.22,-136.09,24.096,0,0,0,0,0,0,0,0,0,0
20.758,4.7,0,0,0,0,0,0,-0.2,-135.75,24.096,0,0,0,0,0,0,0,0,0,0
20.824,4.7,0,0,0,0,0,0,-0.18,-135.43,24.096,0,0,0,0,0,0,0,0,0,0
20.892,4.7,0,0,0,0,0,0,-0.16,-135.1,24.096,0,0,0,0,0,0,0,0,0,0
20.959,4.7,0,0,0,0,0,0,-0.15,-134.79,24.096,0,0,0,0,0,0,0,0,0,0
21.026,4.71,0,0,0,0,0,0,-0.14,-134.48,24.096,0,0,0,0,0,0,0,0,0,0
21.093,4.71,0,0,0,0,0,0,-0.14,-134.18,24.096,0,0,0,0,0,0,0,0,0,0
21.16,4.71,0,0,0,0,0,0,-0.14,-133.89,24.096,0,0,0,0,0,0,0,0,0,0
21.227,4.71,0,0,0,0,0,0,-0.13,-133.6,24.096,0,0,0,0,0,0,0,0,0,0
21.294,4.71,0,0,0,0,0,0,-0.12,-133.32,24.096,0,0,0,0,0,0,0,0,0,0
21.36,4.71,0,0,0,0,0,0,-0.11,-133.04,24.096,0,0,0,0,0,0,0,0,0,0
21.426,4.71,0,0,0,0,0,0,-0.11,-132.77,24.097,0,0,0,0,0,0,0,0,0,0
21.438,4.71,0,0,0,0,0,0,-0.1,-132.51,24.097,0,0,0,0,0,0,0,0,0,0
21.419,4.71,0,0,0,0,0,0,-0.09,-132.24,24.097,0,0,0,0,0,0,0,0,0,0
21.394,4.71,0,0,0,0,0,0,-0.08,-131.97,24.097,0,0,0,0,0,0,0,0,0,0
21.369,4.71,0,0,0,0,0,0,-0.07,-131.7,24.097,0,0,0,0,0,0,0,0,0,0
21.343,4.71,0,0,0,0,0,0,-0.06,-131.42,24.097,0,0,0,0,0,0,0,0,0,0
21.317,4.71,0,0,0,0,0,0,-0.06,-131.14,24.097,0,0,0,0,0,0,0,0,0,0
21.291,4.71,0,0,0,0,0,0,-0.05,-130.86,24.097,0,0,0,0,0,0,0,0,0,0
21.264,4.71,0,0,0,0,0,0,-0.04,-130.58,24.097,0,0,0,0,0,0,0,0,0,0
21.237,4.71,0,0,0,0,0,0,-0.03,-130.29,24.097,0,0,0,0,0,0,0,0,0,0
21.209,4.71,0,0,0,0,0,0,-0.02,-130,24.097,0,0,0,0,0,0,0,0,0,0
21.182,4.71,0,0,0,0,0,0,-0.01,-129.71,24.097,0,0,0,0,0,0,0,0,0,0
21.155,4.71,0,0,0,0,0,0,0,-129.41,24.097,0,0,0,0,0,0,0,0,0,0
21.128,4.71,0,0,0,0,0,0,0,-129.11,24.097,0,0,0,0,0,0,0,0,0,0
21.101,4.71,0,0,0,0,0,0,0.01,-128.81,24.098,0,0,0,0,0,0,0,0,0,0
21.074,4.71,0,0,0,0,0,0,0.02,-128.51,24.098,0,0,0,0,0,0,0,0,0,0
21.047,4.71,0,0,0,0,0,0,0.03,-128.2,24.098,0,0,0,0,0,0,0,0,0,0
21.02,4.71,0,0,0,0,0,0,0.04,-127.9,24.098,0,0,0,0,0,0,0,0,0,0
20.993,4.71,0,0,0,0,0,0,0.05,-127.58,24.098,0,0,0,0,0,0,0,0,0,0
20.966,4.71,0,0,0,0,0,0,0.05,-127.28,23.927,0,0,0,0,0,0,0,0,0,0
20.939,4.71,0,0,0,0,0,0,0.06,-127,23.587,0,0,0,0,0,0,0,0,0,0
20.912,4.71,0,0,0,0,0,0,0.07,-126.75,23.246,0,0,0,0,0,0,0,0,0,0
20.885,4.71,0,0,0,0,0,0,0.08,-126.53,22.906,0,0,0,0,0,0,0,0,0,0
20.859,4.71,0,0,0,0,0,0,0.09,-126.34,22.567,0,0,0,0,0,0,0,0,0,0
20.832,4.71,0,0,0,0,0,0,0.1,-126.19,22.228,0,0,0,0,0,0,0,0,0,0
20.805,4.71,0,0,0,0,0,0,0.1,-126.06,21.889,0,0,0,0,0,0,0,0,0,0
20.779,4.71,0,0,0,0,0,0,0.11,-125.97,21.551,0,0,0,0,0,0,0,0,0,0
20.752,4.71,0,0,0,0,0,0,0.12,-125.91,21.213,0,0,0,0,0,0,0,0,0,0
20.726,4.71,0,0,0,0,0,0,0.13,-125.88,20.875,0,0,0,0,0,0,0,0,0,0
20.699,4.71,0,0,0,0,0,0,0.14,-125.88,20.538,0,0,0,0,0,0,0,0,0,0
20.673,4.71,0,0,0,0,0,0,0.15,-125.91,20.201,0,0,0,0,0,0,0,0,0,0
20.647,4.71,0,0,0,0,0,0,0.15,-125.97,19.865,0,0,0,0,0,0,0,0,0,0
20.62,4.71,0,0,0,0,0,0,0.16,-126.06,19.593,0,0,0,0,0,0,0,0,0,0
20.594,4.71,0,0,0,0,0,0,0.17,-126.18,19.322,0,0,0,0,0,0,0,0,0,0
20.568,4.71,0,0,0,0,0,0,0.18,-126.32,19.094,0,0,0,0,0,0,0,0,0,0
20.542,4.71,0,0,0,0,0,0,0.19,-126.47,18.899,0,0,0,0,0,0,0,0,0,0
20.516,4.71,0,0,0,0,0,0,0.19,-126.65,18.639,0,0,0,0,0,0,0,0,0,0
20.49,4.71,0,0,0,0,0,0,0.2,-126.85,18.422,0,0,0,0,0,0,0,0,0,0
20.464,4.71,0,0,0,0,0,0,0.21,-127.07,18.173,0,0,0,0,0,0,0,0,0,0
20.438,4.71,0,0,0,0,0,0,0.22,-127.3,17.966,0,0,0,0,0,0,0,0,0,0
20.412,4.71,0,0,0,0,0,0,0.22,-127.57,17.632,0,0,0,0,0,0,0,0,0,0
20.386,4.71,0,0,0,0,0,0,0.23,-127.85,17.458,0,0,0,0,0,0,0,0,0,0
20.36,4.71,0,0,0,0,0,0,0.24,-128.15,17.371,0,0,0,0,0,0,0,0,0,0
20.334,4.71,0,0,0,0,0,0,0.25,-128.46,17.079,0,0,0,0,0,0,0,0,0,0
20.309,4.71,0,0,0,0,0,0,0.26,-128.8,16.864,0,0,0,0,0,0,0,0,0,0
20.283,4.71,0,0,0,0,0,0,0.26,-129.15,16.766,0,0,0,0,0,0,0,0,0,0
20.257,4.71,0,0,0,0,0,0,0.27,-129.51,16.561,0,0,0,0,0,0,0,0,0,0
20.232,4.71,0,0,0,0,0,0,0.28,-129.87,16.507,0,0,0,0,0,0,0,0,0,0
20.206,4.71,0,0,0,0,0,0,0.29,-130.25,16.485,0,0,0,0,0,0,0,0,0,0
20.18,4.71,0,0,0,0,0,0,0.3,-130.62,16.312,0,0,0,0,0,0,0,0,0,0
20.155,4.71,0,0,0,0,0,0,0.3,-131.01,16.258,0,0,0,0,0,0,0,0,0,0
20.13,4.71,0,0,0,0,0,0,0.31,-131.41,16.161,0,0,0,0,0,0,0,0,0,0
20.104,4.71,0,0,0,0,0,0,0.32,-131.81,16.16,0,0,0,0,0,0,0,0,0,0
20.079,4.71,0,0,0,0,0,0,0.33,-132.2,16.063,0,0,0,0,0,0,0,0,0,0
20.054,4.71,0,0,0,0,0,0,0.33,-132.6,15.977,0,0,0,0,0,0,0,0,0,0
20.028,4.71,0,0,0,0,0,0,0.34,-133.02,15.89,0,0,0,0,0,0,0,0,0,0
20.003,4.71,0,0,0,0,0,0,0.35,-133.43,15.836,0,0,0,0,0,0,0,0,0,0
19.978,4.71,0,0,0,0,0,0,0.36,-133.85,15.815,0,0,0,0,0,0,0,0,0,0
19.953,4.71,0,0,0,0,0,0,0.36,-134.26,15.794,0,0,0,0,0,0,0,0,0,0
19.928,4.71,0,0,0,0,0,0,0.37,-134.68,15.793,0,0,0,0,0,0,0,0,0,0
19.902,4.71,0,0,0,0,0,0,0.37,-135.09,15.792,0,0,0,0,0,0,0,0,0,0
19.877,-1.57,0,0,0,0,0,0,0.37,-135.5,15.802,0,0,0,0,0,0,0,0,0,0
19.851,-1.56,0,0,0,0,0,0,0.35,-135.91,15.768,0,0,0,0,0,0,0,0,0,0
19.826,-1.56,0,0,0,0,0,0,0.31,-136.32,15.682,0,0,0,0,0,0,0,0,0,0
19.8,-1.55,0,0,0,0,0,0,0.26,-136.74,15.714,0,0,0,0,0,0,0,0,0,0
19.775,-1.54,0,0,0,0,0,0,0.2,-137.14,15.766,0,0,0,0,0,0,0,0,0,0
19.749,-1.53,0,0,0,0,0,0,0.11,-137.53,15.798,0,0,0,0,0,0,0,0,0,0
19.723,-1.52,0,0,0,0,0,0,0,-137.92,15.754,0,0,0,0,0,0,0,0,0,0
19.698,-1.51,0,0,0,0,0,0,-0.13,-138.31,15.701,0,0,0,0,0,0,0,0,0,0
19.673,-1.5,0,0,0,0,0,0,-0.29,-138.7,15.753,0,0,0,0,0,0,0,0,0,0
19.648,-1.49,0,0,0,0,0,0,-0.46,-139.08,15.699,0,0,0,0,0,0,0,0,0,0
19.623,-1.48,0,0,0,0,0,0,-0.65,-139.46,15.709,0,0,0,0,0,0,0,0,0,0
19.598,-1.47,0,0,0,0,0,0,-0.86,-139.84,15.676,0,0,0,0,0,0,0,0,0,0
19.573,-1.46,0,0,0,0,0,0,-1.08,-140.22,15.665,0,0,0,0,0,0,0,0,0,0
19.549,-1.46,0,0,0,0,0,0,-1.31,-140.59,15.654,0,0,0,0,0,0,0,0,0,0
19.524,-1.45,0,0,0,0,0,0,-1.55,-140.96,15.686,0,0,0,0,0,0,0,0,0,0
