car speed(m/s),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
21.925,20.41,-8.46,15.339,3.13,3.57,15.262,8.68,-133.02,15.543,-1.93,102.61,15.044,-0.18,-49.8,15.569,42.2,140.76,15.256,2
21.893,21.26,-8.89,15.393,3.21,2.9,15.251,9.17,-133.59,15.624,-1.13,102.51,15.035,-0.02,-50.4,15.579,42.22,140.06,15.335,2
21.861,22.16,-9.29,15.346,3.32,2.24,15.358,9.7,-134.15,15.655,-0.3,102.47,15.091,0.17,-50.99,15.676,42.09,139.41,15.443,2
21.829,23.12,-9.66,15.285,3.46,1.59,15.427,10.27,-134.68,15.682,0.59,102.5,15.21,0.39,-51.57,15.676,42.01,138.76,15.515,2
21.798,24.12,-9.99,15.414,0,0,0,10.88,-135.21,15.691,1.52,102.58,15.346,0.64,-52.13,15.621,41.92,138.11,15.616,2
21.767,25.15,-10.31,15.35,0,0,0,11.72,-135.7,15.637,2.4,102.72,15.482,0.92,-52.71,15.532,42.05,137.4,15.518,2
21.737,4.06,-0.32,15.543,0,0,0,12.49,-136.19,15.646,3.41,102.91,15.361,1.23,-53.27,15.586,42.12,136.69,15.511,2
21.708,4.29,-0.94,15.583,0,0,0,13.3,-136.67,15.554,4.38,103.14,15.401,1.55,-53.82,15.617,42.1,136.01,15.523,2
21.68,4.53,-1.55,15.565,0,0,0,14.02,-137.15,15.593,5.43,103.4,15.36,1.88,-54.37,15.638,42.06,135.33,15.44,2
21.652,4.77,-2.16,15.569,0,0,0,14.86,-137.62,15.561,6.41,103.69,15.335,2.21,-54.91,15.648,42.1,134.62,15.359,2
21.624,15.6,-138.1,15.51,7.38,104.01,15.263,2.54,-55.45,15.647,42.17,133.9,15.419,0,0,0,0,0,0,2
21.596,16.45,-138.57,15.49,8.4,104.34,15.174,2.86,-55.99,15.613,42.17,133.21,15.34,0,0,0,0,0,0,2
21.568,17.2,-139.04,15.54,9.42,104.69,14.925,3.18,-56.53,15.602,42.08,132.55,15.292,0,0,0,0,0,0,2
21.54,17.96,-139.5,15.58,10.42,105.04,14.901,3.48,-57.08,15.524,42.12,131.84,15.294,0,0,0,0,0,0,2
21.512,18.71,-139.97,15.538,11.43,105.42,15.02,3.77,-57.63,15.534,41.99,131.19,15.357,0,0,0,0,0,0,2
21.485,19.9,-140.37,15.538,12.45,105.82,14.964,4.05,-58.19,15.489,41.83,130.57,15.417,0,0,0,0,0,0,2
21.457,20.89,-140.8,15.496,13.46,106.24,15.003,4.32,-58.75,15.412,41.66,129.96,15.55,0,0,0,0,0,0,2
