car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
17.002,3.14,0,0,0,0,0,0,0,0,0,-0.17,-50.07,15.985,0,0,0,0,0,0,0
17.249,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.96,16.009,0,0,0,0,0,0,0
17.496,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.82,16.033,0,0,0,0,0,0,0
17.744,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.66,16.055,0,0,0,0,0,0,0
18.093,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.48,16.076,0,0,0,0,0,0,0
18.323,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.26,16.097,0,0,0,0,0,0,0
18.143,3.14,0,0,0,0,0,0,0,0,0,-0.17,-49.05,16.117,0,0,0,0,0,0,0
18.524,3.14,0,0,0,0,0,0,0,0,0,-0.17,-48.83,16.137,0,0,0,0,0,0,0
18.652,3.14,0,0,0,0,0,0,0,0,0,-0.16,-48.58,16.157,0,0,0,0,0,0,0
18.771,3.14,0,0,0,0,0,0,0,0,0,-0.16,-48.33,16.173,0,0,0,0,0,0,0
18.945,3.14,0,0,0,0,0,0,0,0,0,-0.16,-48.06,16.191,0,0,0,0,0,0,0
19.12,3.14,0,0,0,0,0,0,0,0,0,-0.15,-47.78,16.208,0,0,0,0,0,0,0
19.295,3.14,0,0,0,0,0,0,0,0,0,-0.15,-47.48,16.224,0,0,0,0,0,0,0
19.47,3.14,0,0,0,0,0,0,0,0,0,-0.14,-47.16,16.24,0,0,0,0,0,0,0
19.646,3.14,0,0,0,0,0,0,0,0,0,-0.14,-46.83,16.255,0,0,0,0,0,0,0
19.926,3.14,0,0,0,0,0,0,0,0,0,-0.13,-46.48,16.268,0,0,0,0,0,0,0
20.116,3.14,0,0,0,0,0,0,0,0,0,-0.12,-46.11,16.282,0,0,0,0,0,0,0
20.252,3.14,0,0,0,0,0,0,0,0,0,-0.12,-45.72,16.295,0,0,0,0,0,0,0
20.38,3.14,0,0,0,0,0,0,0,0,0,-0.11,-45.32,16.308,0,0,0,0,0,0,0
20.506,3.14,0,0,0,0,0,0,0,0,0,-0.1,-44.9,16.32,0,0,0,0,0,0,0
20.633,3.14,0,0,0,0,0,0,0,0,0,-0.1,-44.48,16.331,0,0,0,0,0,0,0
20.758,3.14,0,0,0,0,0,0,0,0,0,-0.09,-44.04,16.341,0,0,0,0,0,0,0
20.884,3.15,0,0,0,0,0,0,0,0,0,-0.08,-43.59,16.353,0,0,0,0,0,0,0
21.009,3.15,0,0,0,0,0,0,0,0,0,-0.08,-43.13,16.364,0,0,0,0,0,0,0
21.134,3.15,0,0,0,0,0,0,0,0,0,-0.07,-42.66,16.375,0,0,0,0,0,0,0
21.259,3.15,0,0,0,0,0,0,0,0,0,-0.06,-42.18,16.385,0,0,0,0,0,0,0
21.383,3.15,0,0,0,0,0,0,0,0,0,-0.05,-41.69,16.393,0,0,0,0,0,0,0
21.552,3.15,0,0,0,0,0,0,0,0,0,-0.04,-41.19,16.401,0,0,0,0,0,0,0
21.69,3.15,0,0,0,0,0,0,0,0,0,-0.04,-40.67,16.409,0,0,0,0,0,0,0
21.794,3.15,0,0,0,0,0,0,0,0,0,-0.03,-40.13,16.417,0,0,0,0,0,0,0
21.887,3.15,0,0,0,0,0,0,0,0,0,-0.02,-39.59,16.425,0,0,0,0,0,0,0
21.975,3.15,0,0,0,0,0,0,0,0,0,-0.01,-39.04,16.433,0,0,0,0,0,0,0
22.056,3.15,0,0,0,0,0,0,0,0,0,0,-38.47,16.44,0,0,0,0,0,0,0
