car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
24.065,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,36.89,-90.97,18.228,0,0,0,0
24.117,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,36.13,-91.56,18.229,0,0,0,0
24.174,-1.53,0,0,0,0,0,0,0,0,0,0,0,0,35.51,-92.15,18.229,0,0,0,0
24.231,-1.52,0,0,0,0,0,0,0,0,0,0,0,0,34.9,-92.75,18.229,0,0,0,0
24.286,-1.52,0,0,0,0,0,0,0,0,0,0,0,0,34.41,-93.34,18.229,0,0,0,0
24.341,-1.53,0,0,0,0,0,0,0,0,0,0,0,0,33.78,-93.95,18.229,0,0,0,0
24.397,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,33.13,-94.56,18.23,0,0,0,0
24.454,-1.54,0,0,0,0,0,0,0,0,0,0,0,0,32.48,-95.17,18.23,0,0,0,0
24.51,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,31.82,-95.8,18.23,0,0,0,0
24.566,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,31.17,-96.43,18.23,0,0,0,0
24.623,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,30.64,-97.06,18.23,0,0,0,0
24.679,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,29.99,-97.71,18.231,0,0,0,0
24.735,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,29.33,-98.36,18.231,0,0,0,0
24.79,-1.55,0,0,0,0,0,0,0,0,0,0,0,0,28.82,-99,18.231,0,0,0,0
24.846,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,28.14,-99.66,18.231,0,0,0,0
24.902,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,27.59,-100.32,18.231,0,0,0,0
24.957,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,26.94,-101,18.231,0,0,0,0
25.013,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,26.4,-101.67,18.232,0,0,0,0
25.068,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,25.72,-102.36,18.232,0,0,0,0
25.123,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,25.24,-103.04,18.232,0,0,0,0
25.179,-1.56,0,0,0,0,0,0,0,0,0,0,0,0,24.58,-103.74,18.232,0,0,0,0
25.234,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,24.09,-104.43,18.232,0,0,0,0
25.288,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,23.47,-105.14,18.232,0,0,0,0
25.343,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,22.98,-105.84,18.233,0,0,0,0
25.398,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,22.36,-106.56,18.233,0,0,0,0
25.452,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,21.81,-107.28,18.233,0,0,0,0
25.506,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,21.44,-108,18.233,0,0,0,0
25.561,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,20.85,-108.74,18.233,0,0,0,0
25.615,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,20.44,-109.47,18.233,0,0,0,0
25.669,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,20.11,-110.21,18.234,0,0,0,0
25.723,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,19.53,-110.96,18.06,0,0,0,0
25.776,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,19.07,-111.76,17.753,0,0,0,0
25.83,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,18.61,-112.57,17.591,0,0,0,0
25.883,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,18.15,-113.41,17.429,0,0,0,0
25.937,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,17.7,-114.28,17.213,0,0,0,0
25.99,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,17.25,-115.17,16.953,0,0,0,0
26.043,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,16.8,-116.09,16.801,0,0,0,0
26.096,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,16.36,-117.04,16.479,0,0,0,0
26.149,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,15.92,-118.02,16.233,0,0,0,0
26.202,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,15.48,-119.02,16.159,0,0,0,0
26.254,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,15.04,-120.05,15.865,0,0,0,0
26.307,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,14.61,-121.1,15.688,0,0,0,0
26.359,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,14.17,-122.18,15.632,0,0,0,0
26.405,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,13.73,-123.27,15.579,0,0,0,0
26.391,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,13.29,-124.35,15.64,0,0,0,0
26.39,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,12.85,-125.43,15.687,0,0,0,0
26.391,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,12.74,-126.5,15.72,0,0,0,0
26.393,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,12.46,-127.56,15.775,0,0,0,0
26.387,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,12.17,-128.62,15.817,0,0,0,0
26.396,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,11.89,-129.68,15.877,0,0,0,0
26.391,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,11.6,-130.73,15.79,0,0,0,0
26.392,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,11.14,-131.8,15.716,0,0,0,0
26.393,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,10.85,-132.87,15.646,0,0,0,0
26.389,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,10.56,-133.95,15.635,0,0,0,0
26.396,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,10.27,-135.03,15.523,0,0,0,0
26.386,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,9.99,-136.13,15.458,0,0,0,0
26.398,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,9.69,-137.22,15.394,0,0,0,0
26.384,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-138.32,15.287,0,0,0,0
26.399,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,9.11,-139.44,15.243,0,0,0,0
26.382,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.86,-140.55,15.257,0,0,0,0
26.4,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.99,-141.65,15.272,0,0,0,0
26.381,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.98,-142.76,15.257,0,0,0,0
26.401,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.98,-143.87,15.332,0,0,0,0
26.382,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.97,-144.98,15.271,0,0,0,0
26.401,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.96,-146.09,15.212,0,0,0,0
26.383,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.95,-147.2,15.332,0,0,0,0
26.4,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.94,-148.29,15.433,0,0,0,0
26.385,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,8.93,-149.39,15.356,0,0,0,0
26.398,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.388,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.395,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.39,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.391,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.393,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.388,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.395,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.385,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.397,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.383,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.398,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.381,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.4,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.381,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.4,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.381,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.4,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.382,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.399,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.384,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.397,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.387,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.394,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.39,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.391,-1.57,0,0,0,0,0,0,0,0,0,0.14,149.26,15.27,0,0,0,0,0,0,0
26.392,-1.57,0,0,0,0,0,0,0,0,0,0.27,148.15,15.376,0,0,0,0,0,0,0
26.387,-1.57,0,0,0,0,0,0,0,0,0,0.27,147.06,15.466,0,0,0,0,0,0,0
26.394,-1.57,0,0,0,0,0,0,0,0,0,0.26,145.97,15.501,0,0,0,0,0,0,0
26.385,4.71,0,0,0,0,0,0,0,0,0,0.45,144.88,15.599,0,0,0,0,0,0,0
26.396,4.71,0,0,0,0,0,0,0,0,0,0.46,143.81,15.654,0,0,0,0,0,0,0
